behavior,start_time,end_time,duration_seconds,frame_start,frame_end
studying,2025-09-11 21:18:12.354428,2025-09-11 21:18:12.479853,0.125425,46,46
studying,2025-09-11 21:18:13.039645,2025-09-11 21:18:13.231312,0.191667,58,58
handraise,2025-09-11 21:18:13.354901,2025-09-11 21:18:13.671964,0.317063,65,65
handraise,2025-09-11 21:18:13.732446,2025-09-11 21:18:13.794804,0.062358,67,67
handraise,2025-09-11 21:18:13.861542,2025-09-11 21:18:14.110740,0.249198,72,72
studying,2025-09-11 21:18:15.303527,2025-09-11 21:18:15.428992,0.125465,93,93
studying,2025-09-11 21:18:15.491591,2025-09-11 21:18:16.496933,1.005342,110,110
