frame,timestamp,behavior
44,2025-09-11 21:18:12.354428,studying
45,2025-09-11 21:18:12.421933,studying
55,2025-09-11 21:18:13.039645,studying
56,2025-09-11 21:18:13.103385,studying
57,2025-09-11 21:18:13.166392,studying
60,2025-09-11 21:18:13.354901,handraise
61,2025-09-11 21:18:13.419400,handraise
62,2025-09-11 21:18:13.480183,handraise
63,2025-09-11 21:18:13.542445,handraise
64,2025-09-11 21:18:13.609554,handraise
66,2025-09-11 21:18:13.732446,handraise
68,2025-09-11 21:18:13.861542,handraise
69,2025-09-11 21:18:13.922026,handraise
70,2025-09-11 21:18:13.988608,handraise
71,2025-09-11 21:18:14.051312,handraise
91,2025-09-11 21:18:15.303527,studying
92,2025-09-11 21:18:15.363636,studying
94,2025-09-11 21:18:15.491591,studying
95,2025-09-11 21:18:15.552715,studying
96,2025-09-11 21:18:15.615842,studying
97,2025-09-11 21:18:15.681174,studying
98,2025-09-11 21:18:15.742937,studying
99,2025-09-11 21:18:15.804399,studying
100,2025-09-11 21:18:15.867359,studying
101,2025-09-11 21:18:15.932722,studying
102,2025-09-11 21:18:15.995249,studying
103,2025-09-11 21:18:16.058096,studying
104,2025-09-11 21:18:16.121734,studying
105,2025-09-11 21:18:16.184447,studying
106,2025-09-11 21:18:16.246928,studying
107,2025-09-11 21:18:16.308927,studying
108,2025-09-11 21:18:16.373168,studying
109,2025-09-11 21:18:16.435956,studying
