behavior,start_time,end_time,duration_seconds,frame_start,frame_end
cheating,2025-09-17 23:12:51.002767,2025-09-17 23:12:51.077791,0.075024,23,23
cheating,2025-09-17 23:13:02.009365,2025-09-17 23:13:02.157464,0.148099,175,175
cheating,2025-09-17 23:13:02.819767,2025-09-17 23:13:03.546523,0.726756,194,194
cheating,2025-09-17 23:13:06.511436,2025-09-17 23:13:06.588905,0.077469,235,235
cheating,2025-09-17 23:13:06.664852,2025-09-17 23:13:08.077265,1.412413,255,255
cheating,2025-09-17 23:13:08.152390,2025-09-17 23:13:10.103628,1.951238,282,282
cheating,2025-09-17 23:13:11.665794,2025-09-17 23:13:13.762121,2.096327,330,330
cheating,2025-09-17 23:13:13.836771,2025-09-17 23:13:13.907268,0.070497,332,332
cheating,2025-09-17 23:13:13.978677,2025-09-17 23:13:14.115288,0.136611,335,335
cheating,2025-09-17 23:13:14.183484,2025-09-17 23:13:15.898347,1.714863,359,359
cheating,2025-09-17 23:13:15.962964,2025-09-17 23:13:16.233316,0.270352,365,365
cheating,2025-09-17 23:13:16.283085,2025-09-17 23:13:16.379933,0.096848,368,368
cheating,2025-09-17 23:13:17.656408,2025-09-17 23:13:17.697602,0.041194,401,401
cheating,2025-09-17 23:13:17.745887,2025-09-17 23:13:17.949781,0.203894,407,407
cheating,2025-09-17 23:13:18.228031,2025-09-17 23:13:18.558319,0.330288,422,422
cheating,2025-09-17 23:13:18.721510,2025-09-17 23:13:18.764805,0.043295,427,427
cheating,2025-09-17 23:13:18.806861,2025-09-17 23:13:18.969931,0.16307,432,432
cheating,2025-09-17 23:13:20.417607,2025-09-17 23:13:20.592374,0.174767,471,471
cheating,2025-09-17 23:13:20.633628,2025-09-17 23:13:20.675591,0.041963,473,473
cheating,2025-09-17 23:13:20.715850,2025-09-17 23:13:21.435698,0.719848,492,492
cheating,2025-09-17 23:13:22.897713,2025-09-17 23:13:22.941441,0.043728,524,524
cheating,2025-09-17 23:13:23.655858,2025-09-17 23:13:26.232165,2.576307,601,601
cheating,2025-09-17 23:13:26.369541,2025-09-17 23:13:26.412741,0.0432,605,605
cheating,2025-09-17 23:13:26.966993,2025-09-17 23:13:27.013190,0.046197,619,619
cheating,2025-09-17 23:13:27.203839,2025-09-17 23:13:29.187938,1.984099,667,667
cheating,2025-09-17 23:13:29.230005,2025-09-17 23:13:31.004879,1.774874,705,705
cheating,2025-09-17 23:13:31.354178,2025-09-17 23:13:31.402794,0.048616,713,713
cheating,2025-09-17 23:13:31.450059,2025-09-17 23:13:36.027719,4.57766,805,805
cheating,2025-09-17 23:13:36.296775,2025-09-17 23:13:36.345849,0.049074,812,812
cheating,2025-09-17 23:13:36.629925,2025-09-17 23:13:36.772944,0.143019,821,821
cheating,2025-09-17 23:13:36.817593,2025-09-17 23:13:36.907930,0.090337,824,824
cheating,2025-09-17 23:13:36.951436,2025-09-17 23:13:37.141282,0.189846,829,829
cheating,2025-09-17 23:13:37.765208,2025-09-17 23:13:37.812048,0.04684,843,843
cheating,2025-09-17 23:13:38.351951,2025-09-17 23:13:38.437627,0.085676,857,857
cheating,2025-09-17 23:13:38.479809,2025-09-17 23:13:38.528913,0.049104,859,859
cheating,2025-09-17 23:13:38.617619,2025-09-17 23:13:38.661668,0.044049,862,862
cheating,2025-09-17 23:13:41.115028,2025-09-17 23:13:41.160073,0.045045,917,917
cheating,2025-09-17 23:13:41.628714,2025-09-17 23:13:42.305021,0.676307,943,943
cheating,2025-09-17 23:13:42.520813,2025-09-17 23:13:42.693321,0.172508,951,951
not_cheating,2025-09-17 23:13:42.693321,2025-09-17 23:13:42.753990,0.060669,952,952
cheating,2025-09-17 23:13:43.675682,2025-09-17 23:13:43.805802,0.13012,973,973
cheating,2025-09-17 23:13:43.848818,2025-09-17 23:13:43.888688,0.03987,975,975
not_cheating,2025-09-17 23:13:46.775915,2025-09-17 23:13:46.819786,0.043871,1039,1039
not_cheating,2025-09-17 23:13:46.895613,2025-09-17 23:13:47.248444,0.352831,1050,1050
not_cheating,2025-09-17 23:13:47.286658,2025-09-17 23:13:47.407985,0.121327,1054,1054
not_cheating,2025-09-17 23:13:47.964964,2025-09-17 23:13:48.202485,0.237521,1074,1074
cheating,2025-09-17 23:13:48.554575,2025-09-17 23:13:48.946863,0.392288,1093,1093
cheating,2025-09-17 23:13:51.706713,2025-09-17 23:13:51.998771,0.292058,1166,1166
cheating,2025-09-17 23:13:52.039017,2025-09-17 23:13:52.118463,0.079446,1169,1169
