frame,timestamp,behavior
22,2025-09-17 23:12:51.002767,cheating
173,2025-09-17 23:13:02.009365,cheating
174,2025-09-17 23:13:02.082425,cheating
184,2025-09-17 23:13:02.819767,cheating
185,2025-09-17 23:13:02.891615,cheating
186,2025-09-17 23:13:02.960540,cheating
187,2025-09-17 23:13:03.032787,cheating
188,2025-09-17 23:13:03.102612,cheating
189,2025-09-17 23:13:03.173467,cheating
190,2025-09-17 23:13:03.245907,cheating
191,2025-09-17 23:13:03.317951,cheating
192,2025-09-17 23:13:03.392929,cheating
193,2025-09-17 23:13:03.468703,cheating
234,2025-09-17 23:13:06.511436,cheating
236,2025-09-17 23:13:06.664852,cheating
237,2025-09-17 23:13:06.738989,cheating
238,2025-09-17 23:13:06.813096,cheating
239,2025-09-17 23:13:06.885910,cheating
240,2025-09-17 23:13:06.957284,cheating
241,2025-09-17 23:13:07.029721,cheating
242,2025-09-17 23:13:07.102453,cheating
243,2025-09-17 23:13:07.172990,cheating
244,2025-09-17 23:13:07.245707,cheating
245,2025-09-17 23:13:07.317375,cheating
246,2025-09-17 23:13:07.392351,cheating
247,2025-09-17 23:13:07.462550,cheating
248,2025-09-17 23:13:07.540423,cheating
249,2025-09-17 23:13:07.622926,cheating
250,2025-09-17 23:13:07.702513,cheating
251,2025-09-17 23:13:07.780647,cheating
252,2025-09-17 23:13:07.856098,cheating
253,2025-09-17 23:13:07.928811,cheating
254,2025-09-17 23:13:08.003903,cheating
256,2025-09-17 23:13:08.152390,cheating
257,2025-09-17 23:13:08.226594,cheating
258,2025-09-17 23:13:08.296622,cheating
259,2025-09-17 23:13:08.368487,cheating
260,2025-09-17 23:13:08.440808,cheating
261,2025-09-17 23:13:08.512802,cheating
262,2025-09-17 23:13:08.585942,cheating
263,2025-09-17 23:13:08.658962,cheating
264,2025-09-17 23:13:08.739523,cheating
265,2025-09-17 23:13:08.823192,cheating
266,2025-09-17 23:13:08.900578,cheating
267,2025-09-17 23:13:08.975618,cheating
268,2025-09-17 23:13:09.050766,cheating
269,2025-09-17 23:13:09.128643,cheating
270,2025-09-17 23:13:09.203474,cheating
271,2025-09-17 23:13:09.282157,cheating
272,2025-09-17 23:13:09.357947,cheating
273,2025-09-17 23:13:09.431594,cheating
274,2025-09-17 23:13:09.504162,cheating
275,2025-09-17 23:13:09.578059,cheating
276,2025-09-17 23:13:09.652817,cheating
277,2025-09-17 23:13:09.726434,cheating
278,2025-09-17 23:13:09.802573,cheating
279,2025-09-17 23:13:09.876653,cheating
280,2025-09-17 23:13:09.951081,cheating
281,2025-09-17 23:13:10.028432,cheating
303,2025-09-17 23:13:11.665794,cheating
304,2025-09-17 23:13:11.740629,cheating
305,2025-09-17 23:13:11.813270,cheating
306,2025-09-17 23:13:11.885189,cheating
307,2025-09-17 23:13:11.958289,cheating
308,2025-09-17 23:13:12.029399,cheating
309,2025-09-17 23:13:12.101013,cheating
310,2025-09-17 23:13:12.172222,cheating
311,2025-09-17 23:13:12.251646,cheating
312,2025-09-17 23:13:12.329456,cheating
313,2025-09-17 23:13:12.406870,cheating
314,2025-09-17 23:13:12.486205,cheating
315,2025-09-17 23:13:12.566511,cheating
316,2025-09-17 23:13:12.643730,cheating
317,2025-09-17 23:13:12.719760,cheating
318,2025-09-17 23:13:12.798061,cheating
319,2025-09-17 23:13:12.874923,cheating
320,2025-09-17 23:13:12.950016,cheating
321,2025-09-17 23:13:13.022166,cheating
322,2025-09-17 23:13:13.089800,cheating
323,2025-09-17 23:13:13.205659,cheating
324,2025-09-17 23:13:13.287492,cheating
325,2025-09-17 23:13:13.376059,cheating
326,2025-09-17 23:13:13.454772,cheating
327,2025-09-17 23:13:13.540792,cheating
328,2025-09-17 23:13:13.617555,cheating
329,2025-09-17 23:13:13.691067,cheating
331,2025-09-17 23:13:13.836771,cheating
333,2025-09-17 23:13:13.978677,cheating
334,2025-09-17 23:13:14.046913,cheating
336,2025-09-17 23:13:14.183484,cheating
337,2025-09-17 23:13:14.255882,cheating
338,2025-09-17 23:13:14.328265,cheating
339,2025-09-17 23:13:14.402284,cheating
340,2025-09-17 23:13:14.469685,cheating
341,2025-09-17 23:13:14.537784,cheating
342,2025-09-17 23:13:14.607447,cheating
343,2025-09-17 23:13:14.675599,cheating
344,2025-09-17 23:13:14.750785,cheating
345,2025-09-17 23:13:14.821443,cheating
346,2025-09-17 23:13:14.899971,cheating
347,2025-09-17 23:13:14.983004,cheating
348,2025-09-17 23:13:15.069675,cheating
349,2025-09-17 23:13:15.147086,cheating
350,2025-09-17 23:13:15.227231,cheating
351,2025-09-17 23:13:15.299956,cheating
352,2025-09-17 23:13:15.372595,cheating
353,2025-09-17 23:13:15.458437,cheating
354,2025-09-17 23:13:15.552324,cheating
355,2025-09-17 23:13:15.631537,cheating
356,2025-09-17 23:13:15.699736,cheating
357,2025-09-17 23:13:15.769597,cheating
358,2025-09-17 23:13:15.833473,cheating
360,2025-09-17 23:13:15.962964,cheating
361,2025-09-17 23:13:16.030080,cheating
362,2025-09-17 23:13:16.075651,cheating
363,2025-09-17 23:13:16.129817,cheating
364,2025-09-17 23:13:16.184305,cheating
366,2025-09-17 23:13:16.283085,cheating
367,2025-09-17 23:13:16.331270,cheating
400,2025-09-17 23:13:17.656408,cheating
402,2025-09-17 23:13:17.746396,cheating
403,2025-09-17 23:13:17.788063,cheating
404,2025-09-17 23:13:17.827928,cheating
405,2025-09-17 23:13:17.867827,cheating
406,2025-09-17 23:13:17.910621,cheating
414,2025-09-17 23:13:18.228031,cheating
415,2025-09-17 23:13:18.269315,cheating
416,2025-09-17 23:13:18.310161,cheating
417,2025-09-17 23:13:18.349962,cheating
418,2025-09-17 23:13:18.388749,cheating
419,2025-09-17 23:13:18.427554,cheating
420,2025-09-17 23:13:18.468234,cheating
421,2025-09-17 23:13:18.511833,cheating
426,2025-09-17 23:13:18.721510,cheating
428,2025-09-17 23:13:18.806861,cheating
429,2025-09-17 23:13:18.848596,cheating
430,2025-09-17 23:13:18.888427,cheating
431,2025-09-17 23:13:18.929290,cheating
467,2025-09-17 23:13:20.417607,cheating
468,2025-09-17 23:13:20.459772,cheating
469,2025-09-17 23:13:20.503406,cheating
470,2025-09-17 23:13:20.553641,cheating
472,2025-09-17 23:13:20.633628,cheating
474,2025-09-17 23:13:20.715850,cheating
475,2025-09-17 23:13:20.755951,cheating
476,2025-09-17 23:13:20.797032,cheating
477,2025-09-17 23:13:20.834882,cheating
478,2025-09-17 23:13:20.874773,cheating
479,2025-09-17 23:13:20.916762,cheating
480,2025-09-17 23:13:20.952973,cheating
481,2025-09-17 23:13:20.996005,cheating
482,2025-09-17 23:13:21.038609,cheating
483,2025-09-17 23:13:21.078817,cheating
484,2025-09-17 23:13:21.117870,cheating
485,2025-09-17 23:13:21.154935,cheating
486,2025-09-17 23:13:21.192403,cheating
487,2025-09-17 23:13:21.233953,cheating
488,2025-09-17 23:13:21.274248,cheating
489,2025-09-17 23:13:21.315559,cheating
