behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
studying,2025-09-17 21:07:25.751100,2025-09-17 21:07:48.047199,22.296099,364,364,
studying,2025-09-17 21:07:48.106626,2025-09-17 21:07:48.225138,0.118512,367,367,
studying,2025-09-17 21:07:48.284097,2025-09-17 21:07:48.343416,0.059319,369,369,
studying,2025-09-17 21:07:48.519392,2025-09-17 21:07:48.637374,0.117982,374,374,
studying,2025-09-17 21:07:48.873512,2025-09-17 21:07:48.932889,0.059377,379,379,
studying,2025-09-17 21:07:48.991493,2025-09-17 21:07:50.009258,1.017765,397,397,
studying,2025-09-17 21:07:50.437838,2025-09-17 21:07:50.811492,0.373654,410,410,
handraise,2025-09-17 21:07:46.928949,2025-09-17 21:07:53.966263,7.037314,460,460,
handraise,2025-09-17 21:08:01.865950,2025-09-17 21:08:01.930164,0.064214,584,584,
studying,2025-09-17 21:07:50.875047,2025-09-17 21:08:04.692130,13.817083,627,627,
studying,2025-09-17 21:08:04.756011,2025-09-17 21:08:05.012660,0.256649,632,632,
studying,2025-09-17 21:08:05.075128,2025-09-17 21:08:05.896704,0.821576,646,646,
studying,2025-09-17 21:08:05.961796,2025-09-17 21:08:06.409274,0.447478,654,654,
studying,2025-09-17 21:08:06.725599,2025-09-17 21:08:06.855945,0.130346,661,661,
studying,2025-09-17 21:08:07.048061,2025-09-17 21:08:07.112960,0.064899,665,665,
studying,2025-09-17 21:08:07.242985,2025-09-17 21:08:07.373728,0.130743,669,669,
studying,2025-09-17 21:08:07.565777,2025-09-17 21:08:08.286814,0.721037,683,683,
studying,2025-09-17 21:08:08.661029,2025-09-17 21:08:08.725110,0.064081,690,690,
studying,2025-09-17 21:08:09.033793,2025-09-17 21:08:09.096501,0.062708,696,696,
studying,2025-09-17 21:08:09.159564,2025-09-17 21:08:09.347962,0.188398,700,700,
studying,2025-09-17 21:08:10.284707,2025-09-17 21:08:11.326945,1.042238,729,729,
studying,2025-09-17 21:08:11.393259,2025-09-17 21:08:12.244949,0.85169,743,743,
studying,2025-09-17 21:08:12.376590,2025-09-17 21:08:17.268592,4.892002,820,820,
studying,2025-09-17 21:08:17.527574,2025-09-17 21:08:18.242613,0.715039,835,835,
studying,2025-09-17 21:08:18.306087,2025-09-17 21:08:19.985199,1.679112,849,849,
studying,2025-09-17 21:08:20.320358,2025-09-17 21:08:35.440683,15.120325,1086,1086,
studying,2025-09-17 21:08:35.819748,2025-09-17 21:08:35.885041,0.065293,1093,1093,
studying,2025-09-17 21:08:36.139676,2025-09-17 21:08:36.203308,0.063632,1098,1098,
studying,2025-09-17 21:08:36.268647,2025-09-17 21:08:39.523010,3.254363,1149,1149,
studying,2025-09-17 21:08:39.588016,2025-09-17 21:08:39.716082,0.128066,1152,1152,
studying,2025-09-17 21:08:39.779707,2025-09-17 21:08:40.824812,1.045105,1169,1169,
studying,2025-09-17 21:08:41.933184,2025-09-17 21:08:42.127003,0.193819,1189,1189,
studying,2025-09-17 21:08:42.703116,2025-09-17 21:08:54.250268,11.547152,1377,1377,
studying,2025-09-17 21:08:54.507162,2025-09-17 21:08:54.571964,0.064802,1382,1382,
studying,2025-09-17 21:08:54.635648,2025-09-17 21:08:54.700092,0.064444,1384,1384,
studying,2025-09-17 21:08:54.765221,2025-09-17 21:09:05.356041,10.59082,1549,1549,Session closed at end of processing
