behavior,start_time,end_time,duration_seconds,frame_start,frame_end
studying,2025-09-16 23:45:07.048429,2025-09-16 23:45:07.185551,0.137122,431,431
studying,2025-09-16 23:45:10.984536,2025-09-16 23:45:11.208316,0.22378,463,463
studying,2025-09-16 23:45:13.736427,2025-09-16 23:45:14.652867,0.91644,490,490
studying,2025-09-16 23:45:14.773702,2025-09-16 23:45:14.881249,0.107547,492,492
studying,2025-09-16 23:45:15.005975,2025-09-16 23:45:15.146271,0.140296,494,494
studying,2025-09-16 23:45:15.266259,2025-09-16 23:45:15.406965,0.140706,496,496
studying,2025-09-16 23:45:15.529253,2025-09-16 23:45:15.686114,0.156861,498,498
studying,2025-09-16 23:45:18.420438,2025-09-16 23:45:18.648869,0.228431,528,528
studying,2025-09-16 23:45:18.802966,2025-09-16 23:45:18.876413,0.073447,531,531
phone_usage,2025-09-16 23:45:25.828988,2025-09-16 23:45:25.906581,0.077593,630,630
phone_usage,2025-09-16 23:45:25.987062,2025-09-16 23:45:26.282330,0.295268,635,635
phone_usage,2025-09-16 23:45:26.359830,2025-09-16 23:45:26.591495,0.231665,639,639
phone_usage,2025-09-16 23:45:26.898790,2025-09-16 23:45:28.552933,1.654143,665,665
phone_usage,2025-09-16 23:45:28.922543,2025-09-16 23:45:28.998064,0.075521,671,671
studying,2025-09-16 23:45:32.099570,2025-09-16 23:45:32.175492,0.075922,715,715
phone_usage,2025-09-16 23:45:32.689558,2025-09-16 23:45:32.982419,0.292861,726,726
phone_usage,2025-09-16 23:45:33.843686,2025-09-16 23:45:33.921089,0.077403,739,739
phone_usage,2025-09-16 23:45:36.104715,2025-09-16 23:45:36.256696,0.151981,773,773
studying,2025-09-16 23:45:36.399171,2025-09-16 23:45:36.765103,0.365932,781,781
studying,2025-09-16 23:45:38.588477,2025-09-16 23:45:38.741390,0.152913,809,809
phone_usage,2025-09-16 23:45:40.272006,2025-09-16 23:45:40.347273,0.075267,832,832
phone_usage,2025-09-16 23:45:40.471422,2025-09-16 23:45:42.361541,1.890119,859,859
phone_usage,2025-09-16 23:45:42.594055,2025-09-16 23:45:42.673420,0.079365,863,863
phone_usage,2025-09-16 23:45:43.026048,2025-09-16 23:45:43.103193,0.077145,869,869
phone_usage,2025-09-16 23:45:43.185064,2025-09-16 23:45:47.302058,4.116994,925,925
handraise,2025-09-16 23:45:47.302058,2025-09-16 23:45:47.533193,0.231135,928,928
handraise,2025-09-16 23:45:47.999834,2025-09-16 23:45:50.863408,2.863574,972,972
handraise,2025-09-16 23:45:51.003983,2025-09-16 23:45:51.234200,0.230217,977,977
handraise,2025-09-16 23:45:51.978237,2025-09-16 23:45:54.173827,2.19559,1017,1017
handraise,2025-09-16 23:45:54.392262,2025-09-16 23:45:54.701369,0.309107,1024,1024
handraise,2025-09-16 23:45:54.931991,2025-09-16 23:45:56.894466,1.962475,1054,1054
phone_usage,2025-09-16 23:45:57.589536,2025-09-16 23:45:57.723023,0.133487,1067,1067
phone_usage,2025-09-16 23:45:58.337691,2025-09-16 23:45:58.519863,0.182172,1080,1080
phone_usage,2025-09-16 23:45:58.583186,2025-09-16 23:45:59.318412,0.735226,1093,1093
phone_usage,2025-09-16 23:45:59.508342,2025-09-16 23:46:00.154605,0.646263,1106,1106
phone_usage,2025-09-16 23:46:00.216665,2025-09-16 23:46:00.277807,0.061142,1108,1108
phone_usage,2025-09-16 23:46:00.341254,2025-09-16 23:46:00.399506,0.058252,1110,1110
phone_usage,2025-09-16 23:46:00.464756,2025-09-16 23:46:00.520741,0.055985,1112,1112
phone_usage,2025-09-16 23:46:00.651598,2025-09-16 23:46:00.899270,0.247672,1118,1118
phone_usage,2025-09-16 23:46:02.630710,2025-09-16 23:46:03.692911,1.062201,1162,1162
phone_usage,2025-09-16 23:46:04.063152,2025-09-16 23:46:04.123674,0.060522,1169,1169
phone_usage,2025-09-16 23:46:04.495312,2025-09-16 23:46:04.773598,0.278286,1179,1179
phone_usage,2025-09-16 23:46:04.834197,2025-09-16 23:46:05.333299,0.499102,1187,1187
phone_usage,2025-09-16 23:46:05.558385,2025-09-16 23:46:05.961233,0.402848,1196,1196
phone_usage,2025-09-16 23:46:06.658589,2025-09-16 23:46:06.735131,0.076542,1207,1207
phone_usage,2025-09-16 23:46:06.876411,2025-09-16 23:46:07.026156,0.149745,1211,1211
phone_usage,2025-09-16 23:46:08.012814,2025-09-16 23:46:08.172225,0.159411,1227,1227
phone_usage,2025-09-16 23:46:08.464593,2025-09-16 23:46:08.613594,0.149001,1233,1233
