behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
fighting,2025-09-17 21:23:06.832723,2025-09-17 21:23:07.501363,0.66864,334,334,
fighting,2025-09-17 21:23:07.584057,2025-09-17 21:23:07.625642,0.041585,337,337,
fighting,2025-09-17 21:23:07.668505,2025-09-17 21:23:07.709482,0.040977,339,339,
fighting,2025-09-17 21:23:07.831116,2025-09-17 21:23:07.872570,0.041454,343,343,
fighting,2025-09-17 21:23:08.213014,2025-09-17 21:23:08.296481,0.083467,353,353,
fighting,2025-09-17 21:23:08.378001,2025-09-17 21:23:08.890593,0.512592,367,367,
fighting,2025-09-17 21:23:08.935571,2025-09-17 21:23:08.978698,0.043127,369,369,
fighting,2025-09-17 21:23:09.022527,2025-09-17 21:23:09.065810,0.043283,371,371,
fighting,2025-09-17 21:23:09.195043,2025-09-17 21:23:09.282605,0.087562,376,376,
fighting,2025-09-17 21:23:09.502361,2025-09-17 21:23:09.681102,0.178741,385,385,
fighting,2025-09-17 21:23:10.203906,2025-09-17 21:23:10.248037,0.044131,398,398,
fighting,2025-09-17 21:23:10.334706,2025-09-17 21:23:10.380022,0.045316,401,401,
fighting,2025-09-17 21:23:10.470003,2025-09-17 21:23:10.559226,0.089223,405,405,
fighting,2025-09-17 21:23:10.647106,2025-09-17 21:23:10.736808,0.089702,409,409,
fighting,2025-09-17 21:23:10.866429,2025-09-17 21:23:10.910168,0.043739,413,413,
fighting,2025-09-17 21:23:11.214780,2025-09-17 21:23:11.263357,0.048577,421,421,
fighting,2025-09-17 21:23:11.396552,2025-09-17 21:23:11.441382,0.04483,425,425,
fighting,2025-09-17 21:23:12.397712,2025-09-17 21:23:12.787279,0.389567,456,456,
fighting,2025-09-17 21:23:13.039684,2025-09-17 21:23:13.081601,0.041917,463,463,
fighting,2025-09-17 21:23:17.649099,2025-09-17 21:23:17.738114,0.089015,572,572,
fighting,2025-09-17 21:23:18.419253,2025-09-17 21:23:18.464980,0.045727,589,589,
fighting,2025-09-17 21:23:19.019065,2025-09-17 21:23:19.061616,0.042551,603,603,
fighting,2025-09-17 21:23:19.147749,2025-09-17 21:23:19.321051,0.173302,609,609,
fighting,2025-09-17 21:23:19.364711,2025-09-17 21:23:19.408289,0.043578,611,611,
fighting,2025-09-17 21:23:19.495025,2025-09-17 21:23:19.538460,0.043435,614,614,
fighting,2025-09-17 21:23:20.639580,2025-09-17 21:23:20.931539,0.291959,647,647,
fighting,2025-09-17 21:23:21.013973,2025-09-17 21:23:21.095748,0.081775,651,651,
fighting,2025-09-17 21:23:21.137595,2025-09-17 21:23:21.179133,0.041538,653,653,
fighting,2025-09-17 21:23:21.221594,2025-09-17 21:23:21.266644,0.04505,655,655,
fighting,2025-09-17 21:23:21.396987,2025-09-17 21:23:21.442339,0.045352,659,659,
fighting,2025-09-17 21:23:27.948931,2025-09-17 21:23:28.118239,0.169308,815,815,
fighting,2025-09-17 21:23:28.242072,2025-09-17 21:23:28.408988,0.166916,822,822,
fighting,2025-09-17 21:23:28.492184,2025-09-17 21:23:28.699689,0.207505,829,829,
fighting,2025-09-17 21:23:29.843402,2025-09-17 21:23:30.624998,0.781596,874,874,
fighting,2025-09-17 21:23:31.002338,2025-09-17 21:23:31.071944,0.069606,883,883,Session closed at end of processing
