frame,timestamp,behavior
1,2025-09-17 21:25:31.643990,studying
2,2025-09-17 21:25:31.713454,studying
3,2025-09-17 21:25:31.784949,studying
4,2025-09-17 21:25:31.854597,studying
5,2025-09-17 21:25:31.923846,studying
6,2025-09-17 21:25:31.988488,studying
7,2025-09-17 21:25:32.055735,studying
8,2025-09-17 21:25:32.121071,studying
9,2025-09-17 21:25:32.186628,studying
10,2025-09-17 21:25:32.253172,studying
11,2025-09-17 21:25:32.321315,studying
12,2025-09-17 21:25:32.388237,studying
13,2025-09-17 21:25:32.455615,studying
14,2025-09-17 21:25:32.522660,studying
15,2025-09-17 21:25:32.587578,studying
16,2025-09-17 21:25:32.652159,studying
17,2025-09-17 21:25:32.719625,studying
18,2025-09-17 21:25:32.783335,studying
19,2025-09-17 21:25:32.850630,studying
20,2025-09-17 21:25:32.915804,studying
21,2025-09-17 21:25:32.981149,studying
22,2025-09-17 21:25:33.047122,studying
23,2025-09-17 21:25:33.113365,studying
24,2025-09-17 21:25:33.176624,studying
25,2025-09-17 21:25:33.239617,studying
26,2025-09-17 21:25:33.306123,studying
27,2025-09-17 21:25:33.373380,studying
28,2025-09-17 21:25:33.438640,studying
29,2025-09-17 21:25:33.504112,studying
29,2025-09-17 21:25:33.504112,handraise
30,2025-09-17 21:25:33.569080,studying
30,2025-09-17 21:25:33.569080,handraise
31,2025-09-17 21:25:33.634703,studying
31,2025-09-17 21:25:33.634703,handraise
32,2025-09-17 21:25:33.697978,studying
36,2025-09-17 21:25:33.962101,studying
37,2025-09-17 21:25:34.025591,studying
38,2025-09-17 21:25:34.090636,studying
39,2025-09-17 21:25:34.153694,studying
40,2025-09-17 21:25:34.217603,studying
41,2025-09-17 21:25:34.280849,studying
42,2025-09-17 21:25:34.344009,studying
43,2025-09-17 21:25:34.407781,studying
44,2025-09-17 21:25:34.470748,studying
45,2025-09-17 21:25:34.535860,studying
46,2025-09-17 21:25:34.599509,studying
47,2025-09-17 21:25:34.664967,studying
48,2025-09-17 21:25:34.729902,studying
49,2025-09-17 21:25:34.793879,studying
50,2025-09-17 21:25:34.860238,studying
51,2025-09-17 21:25:34.926621,studying
52,2025-09-17 21:25:34.991137,studying
53,2025-09-17 21:25:35.057136,studying
54,2025-09-17 21:25:35.121802,studying
55,2025-09-17 21:25:35.186541,studying
56,2025-09-17 21:25:35.249579,studying
57,2025-09-17 21:25:35.314038,studying
58,2025-09-17 21:25:35.378183,studying
59,2025-09-17 21:25:35.441661,studying
60,2025-09-17 21:25:35.506042,studying
61,2025-09-17 21:25:35.571105,studying
62,2025-09-17 21:25:35.637380,studying
63,2025-09-17 21:25:35.701235,studying
64,2025-09-17 21:25:35.763244,studying
65,2025-09-17 21:25:35.826792,studying
66,2025-09-17 21:25:35.889795,studying
67,2025-09-17 21:25:35.957725,studying
68,2025-09-17 21:25:36.027773,studying
69,2025-09-17 21:25:36.099037,studying
70,2025-09-17 21:25:36.170379,studying
71,2025-09-17 21:25:36.241800,studying
72,2025-09-17 21:25:36.314852,studying
73,2025-09-17 21:25:36.387129,studying
74,2025-09-17 21:25:36.458746,studying
75,2025-09-17 21:25:36.530552,studying
76,2025-09-17 21:25:36.603698,studying
77,2025-09-17 21:25:36.676670,studying
78,2025-09-17 21:25:36.749733,studying
79,2025-09-17 21:25:36.823155,studying
80,2025-09-17 21:25:36.896589,studying
81,2025-09-17 21:25:36.969336,studying
82,2025-09-17 21:25:37.040734,studying
83,2025-09-17 21:25:37.111753,studying
84,2025-09-17 21:25:37.182402,studying
85,2025-09-17 21:25:37.254901,studying
86,2025-09-17 21:25:37.329160,studying
87,2025-09-17 21:25:37.400557,studying
88,2025-09-17 21:25:37.470998,studying
89,2025-09-17 21:25:37.544930,studying
90,2025-09-17 21:25:37.583730,studying
91,2025-09-17 21:25:37.648240,studying
92,2025-09-17 21:25:37.721887,studying
93,2025-09-17 21:25:37.793749,studying
94,2025-09-17 21:25:37.866137,studying
95,2025-09-17 21:25:37.938027,studying
96,2025-09-17 21:25:38.010113,studying
97,2025-09-17 21:25:38.083403,studying
98,2025-09-17 21:25:38.161511,studying
99,2025-09-17 21:25:38.238250,studying
100,2025-09-17 21:25:38.316929,studying
101,2025-09-17 21:25:38.402757,studying
102,2025-09-17 21:25:38.502481,studying
103,2025-09-17 21:25:38.588717,studying
104,2025-09-17 21:25:38.667161,studying
105,2025-09-17 21:25:38.743708,studying
106,2025-09-17 21:25:38.818286,studying
107,2025-09-17 21:25:38.889719,studying
108,2025-09-17 21:25:38.959755,studying
109,2025-09-17 21:25:39.028686,studying
110,2025-09-17 21:25:39.105746,studying
111,2025-09-17 21:25:39.177486,studying
112,2025-09-17 21:25:39.245368,studying
113,2025-09-17 21:25:39.313917,studying
114,2025-09-17 21:25:39.382396,studying
115,2025-09-17 21:25:39.449831,studying
116,2025-09-17 21:25:39.518610,studying
117,2025-09-17 21:25:39.588706,studying
118,2025-09-17 21:25:39.658901,studying
119,2025-09-17 21:25:39.727724,studying
120,2025-09-17 21:25:39.795132,studying
121,2025-09-17 21:25:39.870100,studying
122,2025-09-17 21:25:39.943322,studying
123,2025-09-17 21:25:40.011978,studying
124,2025-09-17 21:25:40.082008,studying
125,2025-09-17 21:25:40.150888,studying
126,2025-09-17 21:25:40.219933,studying
127,2025-09-17 21:25:40.288194,studying
128,2025-09-17 21:25:40.356898,studying
129,2025-09-17 21:25:40.430750,studying
130,2025-09-17 21:25:40.504831,studying
131,2025-09-17 21:25:40.584239,studying
132,2025-09-17 21:25:40.677465,studying
133,2025-09-17 21:25:40.765777,studying
134,2025-09-17 21:25:40.856798,studying
135,2025-09-17 21:25:40.946002,studying
136,2025-09-17 21:25:41.026686,studying
136,2025-09-17 21:25:41.026686,handraise
137,2025-09-17 21:25:41.102177,studying
137,2025-09-17 21:25:41.102177,handraise
138,2025-09-17 21:25:41.175645,studying
138,2025-09-17 21:25:41.175645,handraise
139,2025-09-17 21:25:41.249326,studying
139,2025-09-17 21:25:41.249326,handraise
140,2025-09-17 21:25:41.320035,studying
140,2025-09-17 21:25:41.320035,handraise
141,2025-09-17 21:25:41.390780,studying
142,2025-09-17 21:25:41.461572,studying
143,2025-09-17 21:25:41.536913,studying
144,2025-09-17 21:25:41.607826,studying
145,2025-09-17 21:25:41.676348,studying
146,2025-09-17 21:25:41.747218,studying
147,2025-09-17 21:25:41.815019,studying
148,2025-09-17 21:25:41.886356,studying
149,2025-09-17 21:25:41.959245,studying
150,2025-09-17 21:25:42.034871,studying
150,2025-09-17 21:25:42.034871,handraise
151,2025-09-17 21:25:42.109565,studying
151,2025-09-17 21:25:42.109565,handraise
152,2025-09-17 21:25:42.180619,studying
152,2025-09-17 21:25:42.180619,handraise
153,2025-09-17 21:25:42.249827,studying
153,2025-09-17 21:25:42.249827,handraise
154,2025-09-17 21:25:42.316998,studying
154,2025-09-17 21:25:42.316998,handraise
155,2025-09-17 21:25:42.401610,studying
155,2025-09-17 21:25:42.401610,handraise
156,2025-09-17 21:25:42.472185,studying
156,2025-09-17 21:25:42.472185,handraise
157,2025-09-17 21:25:42.540941,studying
157,2025-09-17 21:25:42.540941,handraise
158,2025-09-17 21:25:42.612742,studying
158,2025-09-17 21:25:42.612742,handraise
159,2025-09-17 21:25:42.679217,studying
159,2025-09-17 21:25:42.679217,handraise
160,2025-09-17 21:25:42.752518,studying
160,2025-09-17 21:25:42.752518,handraise
161,2025-09-17 21:25:42.827849,studying
162,2025-09-17 21:25:42.899630,studying
163,2025-09-17 21:25:42.971389,studying
164,2025-09-17 21:25:43.042260,studying
165,2025-09-17 21:25:43.111889,studying
166,2025-09-17 21:25:43.183676,studying
167,2025-09-17 21:25:43.255607,handraise
168,2025-09-17 21:25:43.328515,handraise
169,2025-09-17 21:25:43.402797,handraise
170,2025-09-17 21:25:43.478962,handraise
171,2025-09-17 21:25:43.551975,handraise
172,2025-09-17 21:25:43.623550,handraise
173,2025-09-17 21:25:43.696127,handraise
174,2025-09-17 21:25:43.768270,handraise
175,2025-09-17 21:25:43.847156,handraise
176,2025-09-17 21:25:43.927795,handraise
177,2025-09-17 21:25:44.011882,handraise
178,2025-09-17 21:25:44.093178,handraise
179,2025-09-17 21:25:44.177523,handraise
180,2025-09-17 21:25:44.258921,handraise
181,2025-09-17 21:25:44.338863,handraise
182,2025-09-17 21:25:44.412932,handraise
183,2025-09-17 21:25:44.484959,handraise
184,2025-09-17 21:25:44.557993,handraise
185,2025-09-17 21:25:44.631634,handraise
186,2025-09-17 21:25:44.703692,handraise
187,2025-09-17 21:25:44.779857,handraise
188,2025-09-17 21:25:44.862178,handraise
189,2025-09-17 21:25:44.944036,handraise
190,2025-09-17 21:25:45.023864,handraise
191,2025-09-17 21:25:45.106015,handraise
192,2025-09-17 21:25:45.186820,handraise
193,2025-09-17 21:25:45.265028,handraise
194,2025-09-17 21:25:45.348470,handraise
195,2025-09-17 21:25:45.433711,handraise
196,2025-09-17 21:25:45.516773,handraise
197,2025-09-17 21:25:45.596707,handraise
198,2025-09-17 21:25:45.673446,handraise
199,2025-09-17 21:25:45.745744,handraise
200,2025-09-17 21:25:45.813467,handraise
201,2025-09-17 21:25:45.883598,handraise
202,2025-09-17 21:25:45.953885,handraise
203,2025-09-17 21:25:46.031426,handraise
204,2025-09-17 21:25:46.101287,handraise
205,2025-09-17 21:25:46.170806,handraise
206,2025-09-17 21:25:46.240543,handraise
207,2025-09-17 21:25:46.316367,handraise
208,2025-09-17 21:25:46.390973,handraise
209,2025-09-17 21:25:46.459738,handraise
210,2025-09-17 21:25:46.529063,handraise
211,2025-09-17 21:25:46.601390,handraise
212,2025-09-17 21:25:46.680578,handraise
213,2025-09-17 21:25:46.753917,handraise
214,2025-09-17 21:25:46.823899,handraise
215,2025-09-17 21:25:46.895632,handraise
216,2025-09-17 21:25:46.963635,handraise
217,2025-09-17 21:25:47.037727,handraise
218,2025-09-17 21:25:47.111090,handraise
219,2025-09-17 21:25:47.184055,handraise
220,2025-09-17 21:25:47.261814,handraise
221,2025-09-17 21:25:47.344009,handraise
222,2025-09-17 21:25:47.426534,handraise
223,2025-09-17 21:25:47.501224,handraise
224,2025-09-17 21:25:47.573189,handraise
225,2025-09-17 21:25:47.648933,handraise
226,2025-09-17 21:25:47.728880,handraise
227,2025-09-17 21:25:47.802025,handraise
228,2025-09-17 21:25:47.876517,handraise
229,2025-09-17 21:25:47.950446,handraise
230,2025-09-17 21:25:48.022690,handraise
231,2025-09-17 21:25:48.090345,handraise
232,2025-09-17 21:25:48.159703,studying
232,2025-09-17 21:25:48.159703,handraise
