behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
handraise,2025-09-17 21:37:49.899655,2025-09-17 21:37:50.263117,0.363462,35,35,
handraise,2025-09-17 21:37:54.433339,2025-09-17 21:37:55.680050,1.246711,163,163,
studying,2025-09-17 21:37:48.075044,2025-09-17 21:37:55.887922,7.812878,168,168,
studying,2025-09-17 21:37:58.484751,2025-09-17 21:37:59.120214,0.635463,244,244,
handraise,2025-09-17 21:37:55.722593,2025-09-17 21:37:59.657035,3.934442,257,257,
handraise,2025-09-17 21:37:59.990162,2025-09-17 21:38:00.075848,0.085686,267,267,
studying,2025-09-17 21:37:59.161589,2025-09-17 21:38:07.411507,8.249918,441,441,
studying,2025-09-17 21:38:07.537703,2025-09-17 21:38:07.621526,0.083823,446,446,
handraise,2025-09-17 21:38:01.977418,2025-09-17 21:38:09.559598,7.58218,493,493,
studying,2025-09-17 21:38:08.437931,2025-09-17 21:38:20.211641,11.77371,748,748,
studying,2025-09-17 21:38:20.254814,2025-09-17 21:38:20.297791,0.042977,750,750,
handraise,2025-09-17 21:38:21.267867,2025-09-17 21:38:24.843094,3.575227,855,855,
studying,2025-09-17 21:38:20.661891,2025-09-17 21:38:29.753197,9.091306,968,968,Session closed at end of processing
