behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
cheating,2025-09-17 23:19:18.552681,2025-09-17 23:19:18.829989,0.277308,26,26,
cheating,2025-09-17 23:19:19.569773,2025-09-17 23:19:19.642362,0.072589,35,35,
cheating,2025-09-17 23:19:19.788002,2025-09-17 23:19:19.859225,0.071223,38,38,
cheating,2025-09-17 23:19:20.336646,2025-09-17 23:19:20.412337,0.075691,45,45,
not_cheating,2025-09-17 23:19:21.392254,2025-09-17 23:19:21.462228,0.069974,59,59,Session closed at end of processing
