behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
fighting,2025-09-17 21:45:02.924925,2025-09-17 21:45:03.328689,0.403764,145,145,
fighting,2025-09-17 21:45:03.595179,2025-09-17 21:45:04.013097,0.417918,155,155,
fighting,2025-09-17 21:45:04.565726,2025-09-17 21:45:04.634909,0.069183,164,164,
fighting,2025-09-17 21:45:04.751343,2025-09-17 21:45:05.228059,0.476716,176,176,
fighting,2025-09-17 21:45:10.667255,2025-09-17 21:45:10.708750,0.041495,306,306,
fighting,2025-09-17 21:45:10.792834,2025-09-17 21:45:10.918181,0.125347,311,311,
fighting,2025-09-17 21:45:10.958149,2025-09-17 21:45:11.041101,0.082952,314,314,
fighting,2025-09-17 21:45:11.162210,2025-09-17 21:45:14.434762,3.272552,392,392,
fighting,2025-09-17 21:45:14.479772,2025-09-17 21:45:16.277961,1.798189,434,434,
fighting,2025-09-17 21:45:16.408906,2025-09-17 21:45:16.452120,0.043214,438,438,
fighting,2025-09-17 21:45:16.494252,2025-09-17 21:45:16.581247,0.086995,441,441,
fighting,2025-09-17 21:45:16.707925,2025-09-17 21:45:17.437223,0.729298,461,461,
fighting,2025-09-17 21:45:17.481051,2025-09-17 21:45:17.611196,0.130145,465,465,
fighting,2025-09-17 21:45:17.697101,2025-09-17 21:45:17.786552,0.089451,469,469,
fighting,2025-09-17 21:45:17.913194,2025-09-17 21:45:18.090600,0.177406,476,476,
fighting,2025-09-17 21:45:18.134914,2025-09-17 21:45:18.482207,0.347293,485,485,
fighting,2025-09-17 21:45:18.695771,2025-09-17 21:45:18.824751,0.12898,493,493,
fighting,2025-09-17 21:45:19.077083,2025-09-17 21:45:19.162104,0.085021,501,501,
fighting,2025-09-17 21:45:19.202252,2025-09-17 21:45:19.246746,0.044494,503,503,
fighting,2025-09-17 21:45:19.455807,2025-09-17 21:45:19.538259,0.082452,510,510,
fighting,2025-09-17 21:45:19.624128,2025-09-17 21:45:19.667061,0.042933,513,513,
fighting,2025-09-17 21:45:19.708790,2025-09-17 21:45:19.793747,0.084957,516,516,
fighting,2025-09-17 21:45:19.834718,2025-09-17 21:45:19.920591,0.085873,519,519,
fighting,2025-09-17 21:45:20.006803,2025-09-17 21:45:20.092631,0.085828,523,523,
fighting,2025-09-17 21:45:20.301012,2025-09-17 21:45:20.386970,0.085958,530,530,
fighting,2025-09-17 21:45:20.429993,2025-09-17 21:45:20.474706,0.044713,532,532,
fighting,2025-09-17 21:45:21.160336,2025-09-17 21:45:21.290735,0.130399,551,551,
fighting,2025-09-17 21:45:21.464138,2025-09-17 21:45:21.508432,0.044294,556,556,
fighting,2025-09-17 21:45:21.603763,2025-09-17 21:45:21.692977,0.089214,560,560,
fighting,2025-09-17 21:45:21.738249,2025-09-17 21:45:21.826839,0.08859,563,563,
fighting,2025-09-17 21:45:21.912790,2025-09-17 21:45:21.956079,0.043289,566,566,
