behavior,start_time,end_time,duration_seconds,frame_start,frame_end
fighting,2025-09-17 21:24:51.423318,2025-09-17 21:24:51.466486,0.043168,367,367
fighting,2025-09-17 21:24:57.252352,2025-09-17 21:24:57.379556,0.127204,506,506
fighting,2025-09-17 21:24:57.588304,2025-09-17 21:24:57.674020,0.085716,513,513
fighting,2025-09-17 21:24:57.757176,2025-09-17 21:24:57.800010,0.042834,516,516
fighting,2025-09-17 21:24:57.924825,2025-09-17 21:24:57.966038,0.041213,520,520
fighting,2025-09-17 21:24:58.216408,2025-09-17 21:24:58.260238,0.04383,527,527
fighting,2025-09-17 21:24:58.305038,2025-09-17 21:24:58.349156,0.044118,529,529
fighting,2025-09-17 21:24:58.436356,2025-09-17 21:24:58.480960,0.044604,532,532
fighting,2025-09-17 21:25:03.569915,2025-09-17 21:25:03.614162,0.044247,652,652
