behavior,start_time,end_time,duration_seconds,frame_start,frame_end
not_cheating,2025-09-17 21:14:58.963311,2025-09-17 21:14:59.103515,0.140204,79,79
not_cheating,2025-09-17 21:14:59.659239,2025-09-17 21:14:59.729330,0.070091,88,88
not_cheating,2025-09-17 21:14:59.941836,2025-09-17 21:15:00.014924,0.073088,92,92
not_cheating,2025-09-17 21:15:00.809674,2025-09-17 21:15:01.099984,0.29031,107,107
cheating,2025-09-17 21:15:08.355497,2025-09-17 21:15:08.811711,0.456214,209,209
cheating,2025-09-17 21:15:08.890183,2025-09-17 21:15:08.964797,0.074614,211,211
not_cheating,2025-09-17 21:15:13.550203,2025-09-17 21:15:13.626993,0.07679,273,273
not_cheating,2025-09-17 21:15:14.691821,2025-09-17 21:15:14.999302,0.307481,291,291
not_cheating,2025-09-17 21:15:16.960157,2025-09-17 21:15:17.038072,0.077915,318,318
not_cheating,2025-09-17 21:15:19.225923,2025-09-17 21:15:19.754946,0.529023,354,354
not_cheating,2025-09-17 21:15:19.979967,2025-09-17 21:15:20.206616,0.226649,360,360
not_cheating,2025-09-17 21:15:20.283733,2025-09-17 21:15:20.740676,0.456943,367,367
not_cheating,2025-09-17 21:15:20.817677,2025-09-17 21:15:21.358714,0.541037,375,375
not_cheating,2025-09-17 21:15:21.516879,2025-09-17 21:15:21.678940,0.162061,379,379
not_cheating,2025-09-17 21:15:22.104150,2025-09-17 21:15:22.188942,0.084792,385,385
not_cheating,2025-09-17 21:15:22.588066,2025-09-17 21:15:23.899240,1.311174,408,408
not_cheating,2025-09-17 21:15:24.352902,2025-09-17 21:15:24.573636,0.220734,416,416
cheating,2025-09-17 21:15:28.322521,2025-09-17 21:15:28.399044,0.076523,467,467
