behavior,start_time,end_time,duration_seconds,frame_start,frame_end
fighting,2025-09-17 21:21:54.046741,2025-09-17 21:21:54.111130,0.064389,13,13
fighting,2025-09-17 21:21:56.032802,2025-09-17 21:21:56.096961,0.064159,44,44
fighting,2025-09-17 21:21:57.502096,2025-09-17 21:21:57.630733,0.128637,68,68
fighting,2025-09-17 21:22:02.820981,2025-09-17 21:22:03.063858,0.242877,142,142
fighting,2025-09-17 21:22:03.924142,2025-09-17 21:22:04.078097,0.153955,155,155
fighting,2025-09-17 21:22:04.231651,2025-09-17 21:22:04.310281,0.07863,158,158
fighting,2025-09-17 21:22:04.930007,2025-09-17 21:22:05.007049,0.077042,167,167
fighting,2025-09-17 21:22:05.701590,2025-09-17 21:22:05.933189,0.231599,179,179
fighting,2025-09-17 21:22:06.009287,2025-09-17 21:22:06.776824,0.767537,190,190
fighting,2025-09-17 21:22:11.236925,2025-09-17 21:22:11.322257,0.085332,286,286
fighting,2025-09-17 21:22:12.158680,2025-09-17 21:22:12.367735,0.209055,311,311
fighting,2025-09-17 21:22:12.409140,2025-09-17 21:22:12.883053,0.473913,323,323
fighting,2025-09-17 21:22:12.927064,2025-09-17 21:22:13.182019,0.254955,330,330
fighting,2025-09-17 21:22:13.269046,2025-09-17 21:22:13.311059,0.042013,333,333
fighting,2025-09-17 21:22:13.352048,2025-09-17 21:22:13.394566,0.042518,335,335
fighting,2025-09-17 21:22:13.479053,2025-09-17 21:22:13.521800,0.042747,338,338
fighting,2025-09-17 21:22:13.562669,2025-09-17 21:22:14.111368,0.548699,352,352
fighting,2025-09-17 21:22:14.320313,2025-09-17 21:22:14.834838,0.514525,369,369
fighting,2025-09-17 21:22:14.878997,2025-09-17 21:22:14.922692,0.043695,371,371
fighting,2025-09-17 21:22:14.967864,2025-09-17 21:22:15.099159,0.131295,375,375
fighting,2025-09-17 21:22:15.143541,2025-09-17 21:22:15.276290,0.132749,379,379
fighting,2025-09-17 21:22:15.404808,2025-09-17 21:22:15.447826,0.043018,383,383
fighting,2025-09-17 21:22:15.534832,2025-09-17 21:22:15.579797,0.044965,386,386
fighting,2025-09-17 21:22:16.585201,2025-09-17 21:22:16.757536,0.172335,413,413
fighting,2025-09-17 21:22:16.965026,2025-09-17 21:22:17.007561,0.042535,419,419
fighting,2025-09-17 21:22:17.849202,2025-09-17 21:22:17.933650,0.084448,441,441
fighting,2025-09-17 21:22:17.976497,2025-09-17 21:22:18.059334,0.082837,444,444
fighting,2025-09-17 21:22:18.983666,2025-09-17 21:22:19.026992,0.043326,467,467
fighting,2025-09-17 21:22:19.070190,2025-09-17 21:22:19.198647,0.128457,471,471
fighting,2025-09-17 21:22:19.285697,2025-09-17 21:22:19.329021,0.043324,474,474
fighting,2025-09-17 21:22:19.415863,2025-09-17 21:22:19.458037,0.042174,477,477
fighting,2025-09-17 21:22:20.283270,2025-09-17 21:22:21.447857,1.164587,523,523
fighting,2025-09-17 21:22:21.538689,2025-09-17 21:22:22.249075,0.710386,539,539
fighting,2025-09-17 21:22:22.434968,2025-09-17 21:22:23.104940,0.669972,558,558
fighting,2025-09-17 21:22:23.150631,2025-09-17 21:22:23.237533,0.086902,561,561
fighting,2025-09-17 21:22:23.282850,2025-09-17 21:22:23.372265,0.089415,564,564
fighting,2025-09-17 21:22:23.677052,2025-09-17 21:22:23.721678,0.044626,572,572
fighting,2025-09-17 21:22:24.329587,2025-09-17 21:22:25.027935,0.698348,602,602
fighting,2025-09-17 21:22:25.204906,2025-09-17 21:22:25.249827,0.044921,607,607
fighting,2025-09-17 21:22:25.292572,2025-09-17 21:22:25.380431,0.087859,610,610
fighting,2025-09-17 21:22:25.805668,2025-09-17 21:22:25.940512,0.134844,623,623
fighting,2025-09-17 21:22:26.110188,2025-09-17 21:22:26.155566,0.045378,628,628
fighting,2025-09-17 21:22:26.379015,2025-09-17 21:22:26.422538,0.043523,634,634
fighting,2025-09-17 21:22:26.635994,2025-09-17 21:22:26.769326,0.133332,642,642
fighting,2025-09-17 21:22:26.812544,2025-09-17 21:22:28.069140,1.256596,672,672
fighting,2025-09-17 21:22:28.111907,2025-09-17 21:22:28.650166,0.538259,686,686
fighting,2025-09-17 21:22:28.902351,2025-09-17 21:22:29.193352,0.291001,699,699
fighting,2025-09-17 21:22:29.277840,2025-09-17 21:22:29.321767,0.043927,702,702
fighting,2025-09-17 21:22:29.363373,2025-09-17 21:22:29.446679,0.083306,705,705
fighting,2025-09-17 21:22:29.490985,2025-09-17 21:22:29.619793,0.128808,709,709
fighting,2025-09-17 21:22:29.662702,2025-09-17 21:22:29.837531,0.174829,714,714
fighting,2025-09-17 21:22:30.099946,2025-09-17 21:22:30.362002,0.262056,726,726
fighting,2025-09-17 21:22:30.446659,2025-09-17 21:22:30.573644,0.126985,731,731
fighting,2025-09-17 21:22:30.616847,2025-09-17 21:22:30.866850,0.250003,738,738
fighting,2025-09-17 21:22:30.909240,2025-09-17 21:22:30.950004,0.040764,740,740
fighting,2025-09-17 21:22:31.158993,2025-09-17 21:22:31.334028,0.175035,749,749
fighting,2025-09-17 21:22:31.419287,2025-09-17 21:22:31.461556,0.042269,752,752
fighting,2025-09-17 21:22:31.547874,2025-09-17 21:22:31.673432,0.125558,757,757
fighting,2025-09-17 21:22:31.963227,2025-09-17 21:22:32.004779,0.041552,765,765
