behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
handraise,2025-09-17 21:06:06.100721,2025-09-17 21:06:08.838932,2.738211,35,35,
handraise,2025-09-17 21:06:15.249704,2025-09-17 21:06:17.922112,2.672408,163,163,
studying,2025-09-17 21:06:04.568957,2025-09-17 21:06:18.244895,13.675938,168,168,
studying,2025-09-17 21:06:22.293966,2025-09-17 21:06:23.254773,0.960807,244,244,
handraise,2025-09-17 21:06:17.989730,2025-09-17 21:06:23.983699,5.993969,257,257,
handraise,2025-09-17 21:06:24.423628,2025-09-17 21:06:24.536955,0.113327,267,267,
studying,2025-09-17 21:06:23.309886,2025-09-17 21:06:35.404730,12.094844,441,441,
studying,2025-09-17 21:06:35.595046,2025-09-17 21:06:35.720619,0.125573,446,446,
handraise,2025-09-17 21:06:27.279556,2025-09-17 21:06:38.710478,11.430922,493,493,
studying,2025-09-17 21:06:36.979622,2025-09-17 21:06:55.505688,18.526066,748,748,
studying,2025-09-17 21:06:55.573826,2025-09-17 21:06:55.642691,0.068865,750,750,
handraise,2025-09-17 21:06:57.286797,2025-09-17 21:07:02.813108,5.526311,855,855,
studying,2025-09-17 21:06:56.253319,2025-09-17 21:07:10.311108,14.057789,968,968,Session closed at end of processing
