frame,timestamp,behavior
1,2025-09-17 21:06:04.568957,studying
2,2025-09-17 21:06:04.656710,studying
3,2025-09-17 21:06:04.713069,studying
4,2025-09-17 21:06:04.766080,studying
5,2025-09-17 21:06:04.821776,studying
6,2025-09-17 21:06:04.874775,studying
7,2025-09-17 21:06:04.930372,studying
8,2025-09-17 21:06:04.983570,studying
9,2025-09-17 21:06:05.038990,studying
10,2025-09-17 21:06:05.096475,studying
11,2025-09-17 21:06:05.152167,studying
12,2025-09-17 21:06:05.209560,studying
13,2025-09-17 21:06:05.266618,studying
14,2025-09-17 21:06:05.322070,studying
15,2025-09-17 21:06:05.378451,studying
16,2025-09-17 21:06:05.434132,studying
17,2025-09-17 21:06:05.491325,studying
18,2025-09-17 21:06:05.546438,studying
19,2025-09-17 21:06:05.602415,studying
20,2025-09-17 21:06:05.659100,studying
21,2025-09-17 21:06:05.715617,studying
22,2025-09-17 21:06:05.770762,studying
23,2025-09-17 21:06:05.826018,studying
24,2025-09-17 21:06:05.882100,studying
25,2025-09-17 21:06:05.935766,studying
26,2025-09-17 21:06:05.991129,studying
27,2025-09-17 21:06:06.046686,studying
28,2025-09-17 21:06:06.100721,studying
28,2025-09-17 21:06:06.100721,handraise
29,2025-09-17 21:06:06.157707,studying
29,2025-09-17 21:06:06.157707,handraise
30,2025-09-17 21:06:06.214888,studying
30,2025-09-17 21:06:06.214888,handraise
31,2025-09-17 21:06:08.557570,studying
31,2025-09-17 21:06:08.557570,handraise
32,2025-09-17 21:06:08.628727,studying
32,2025-09-17 21:06:08.628727,handraise
33,2025-09-17 21:06:08.698716,studying
33,2025-09-17 21:06:08.698716,handraise
34,2025-09-17 21:06:08.767667,studying
34,2025-09-17 21:06:08.767667,handraise
35,2025-09-17 21:06:08.838932,studying
36,2025-09-17 21:06:08.906627,studying
37,2025-09-17 21:06:08.977111,studying
38,2025-09-17 21:06:09.046625,studying
39,2025-09-17 21:06:09.115798,studying
40,2025-09-17 21:06:09.184688,studying
41,2025-09-17 21:06:09.253157,studying
42,2025-09-17 21:06:09.321810,studying
43,2025-09-17 21:06:09.395998,studying
44,2025-09-17 21:06:09.465618,studying
45,2025-09-17 21:06:09.535254,studying
46,2025-09-17 21:06:09.601656,studying
47,2025-09-17 21:06:09.668660,studying
48,2025-09-17 21:06:09.734985,studying
49,2025-09-17 21:06:09.801700,studying
50,2025-09-17 21:06:09.867576,studying
51,2025-09-17 21:06:09.933692,studying
52,2025-09-17 21:06:10.002663,studying
53,2025-09-17 21:06:10.068194,studying
54,2025-09-17 21:06:10.133062,studying
