frame,timestamp,behavior
12,2025-09-17 21:45:59.219238,fighting
43,2025-09-17 21:46:01.408183,fighting
66,2025-09-17 21:46:02.690349,fighting
67,2025-09-17 21:46:02.733732,fighting
139,2025-09-17 21:46:05.792744,fighting
140,2025-09-17 21:46:05.838377,fighting
141,2025-09-17 21:46:05.883671,fighting
153,2025-09-17 21:46:06.410619,fighting
154,2025-09-17 21:46:06.453072,fighting
157,2025-09-17 21:46:06.578172,fighting
166,2025-09-17 21:46:06.962762,fighting
176,2025-09-17 21:46:07.422678,fighting
177,2025-09-17 21:46:07.464892,fighting
178,2025-09-17 21:46:07.507621,fighting
180,2025-09-17 21:46:07.594686,fighting
181,2025-09-17 21:46:07.641298,fighting
182,2025-09-17 21:46:07.683757,fighting
183,2025-09-17 21:46:07.727145,fighting
184,2025-09-17 21:46:07.769323,fighting
185,2025-09-17 21:46:07.815891,fighting
186,2025-09-17 21:46:07.857515,fighting
187,2025-09-17 21:46:07.899675,fighting
188,2025-09-17 21:46:07.941766,fighting
189,2025-09-17 21:46:07.986618,fighting
284,2025-09-17 21:46:12.017440,fighting
285,2025-09-17 21:46:12.058575,fighting
306,2025-09-17 21:46:12.934862,fighting
307,2025-09-17 21:46:12.978304,fighting
308,2025-09-17 21:46:13.020302,fighting
309,2025-09-17 21:46:13.063184,fighting
310,2025-09-17 21:46:13.104125,fighting
312,2025-09-17 21:46:13.186841,fighting
313,2025-09-17 21:46:13.228632,fighting
314,2025-09-17 21:46:13.270069,fighting
315,2025-09-17 21:46:13.313379,fighting
316,2025-09-17 21:46:13.356710,fighting
317,2025-09-17 21:46:13.398830,fighting
318,2025-09-17 21:46:13.441313,fighting
319,2025-09-17 21:46:13.481870,fighting
320,2025-09-17 21:46:13.523566,fighting
321,2025-09-17 21:46:13.565072,fighting
322,2025-09-17 21:46:13.607281,fighting
324,2025-09-17 21:46:13.691717,fighting
325,2025-09-17 21:46:13.731951,fighting
326,2025-09-17 21:46:13.775772,fighting
327,2025-09-17 21:46:13.817267,fighting
328,2025-09-17 21:46:13.859360,fighting
329,2025-09-17 21:46:13.902793,fighting
332,2025-09-17 21:46:14.040863,fighting
334,2025-09-17 21:46:14.127129,fighting
337,2025-09-17 21:46:14.256402,fighting
339,2025-09-17 21:46:14.342274,fighting
340,2025-09-17 21:46:14.385720,fighting
341,2025-09-17 21:46:14.428899,fighting
342,2025-09-17 21:46:14.471742,fighting
343,2025-09-17 21:46:14.516270,fighting
344,2025-09-17 21:46:14.557602,fighting
345,2025-09-17 21:46:14.597793,fighting
346,2025-09-17 21:46:14.640605,fighting
347,2025-09-17 21:46:14.686994,fighting
348,2025-09-17 21:46:14.729290,fighting
349,2025-09-17 21:46:14.770280,fighting
350,2025-09-17 21:46:14.813409,fighting
351,2025-09-17 21:46:14.855893,fighting
357,2025-09-17 21:46:15.115812,fighting
358,2025-09-17 21:46:15.159450,fighting
359,2025-09-17 21:46:15.206991,fighting
360,2025-09-17 21:46:15.251209,fighting
361,2025-09-17 21:46:15.298711,fighting
362,2025-09-17 21:46:15.341375,fighting
363,2025-09-17 21:46:15.385982,fighting
364,2025-09-17 21:46:15.427962,fighting
365,2025-09-17 21:46:15.469984,fighting
366,2025-09-17 21:46:15.520347,fighting
367,2025-09-17 21:46:15.573613,fighting
368,2025-09-17 21:46:15.623371,fighting
370,2025-09-17 21:46:15.715900,fighting
372,2025-09-17 21:46:15.803260,fighting
373,2025-09-17 21:46:15.849100,fighting
374,2025-09-17 21:46:15.892112,fighting
376,2025-09-17 21:46:15.979898,fighting
377,2025-09-17 21:46:16.028240,fighting
378,2025-09-17 21:46:16.071259,fighting
382,2025-09-17 21:46:16.269776,fighting
385,2025-09-17 21:46:16.409771,fighting
409,2025-09-17 21:46:17.475044,fighting
410,2025-09-17 21:46:17.520701,fighting
411,2025-09-17 21:46:17.565320,fighting
412,2025-09-17 21:46:17.606774,fighting
418,2025-09-17 21:46:17.864916,fighting
439,2025-09-17 21:46:18.787652,fighting
440,2025-09-17 21:46:18.830479,fighting
442,2025-09-17 21:46:18.917829,fighting
443,2025-09-17 21:46:18.961282,fighting
466,2025-09-17 21:46:19.944370,fighting
468,2025-09-17 21:46:20.032398,fighting
469,2025-09-17 21:46:20.077593,fighting
470,2025-09-17 21:46:20.121180,fighting
473,2025-09-17 21:46:20.248216,fighting
476,2025-09-17 21:46:20.377249,fighting
496,2025-09-17 21:46:21.258221,fighting
497,2025-09-17 21:46:21.305399,fighting
498,2025-09-17 21:46:21.349726,fighting
499,2025-09-17 21:46:21.392341,fighting
500,2025-09-17 21:46:21.434957,fighting
501,2025-09-17 21:46:21.479401,fighting
502,2025-09-17 21:46:21.522237,fighting
503,2025-09-17 21:46:21.564083,fighting
504,2025-09-17 21:46:21.607338,fighting
505,2025-09-17 21:46:21.657772,fighting
506,2025-09-17 21:46:21.701231,fighting
507,2025-09-17 21:46:21.744839,fighting
508,2025-09-17 21:46:21.788933,fighting
509,2025-09-17 21:46:21.833844,fighting
510,2025-09-17 21:46:21.879717,fighting
511,2025-09-17 21:46:21.924179,fighting
512,2025-09-17 21:46:21.966489,fighting
513,2025-09-17 21:46:22.009652,fighting
514,2025-09-17 21:46:22.052786,fighting
515,2025-09-17 21:46:22.093869,fighting
516,2025-09-17 21:46:22.137134,fighting
517,2025-09-17 21:46:22.181674,fighting
518,2025-09-17 21:46:22.222777,fighting
519,2025-09-17 21:46:22.263783,fighting
520,2025-09-17 21:46:22.305830,fighting
521,2025-09-17 21:46:22.348766,fighting
522,2025-09-17 21:46:22.392052,fighting
525,2025-09-17 21:46:22.520680,fighting
526,2025-09-17 21:46:22.564153,fighting
527,2025-09-17 21:46:22.604862,fighting
528,2025-09-17 21:46:22.647038,fighting
529,2025-09-17 21:46:22.689748,fighting
530,2025-09-17 21:46:22.731860,fighting
531,2025-09-17 21:46:22.775601,fighting
532,2025-09-17 21:46:22.818442,fighting
533,2025-09-17 21:46:22.861729,fighting
534,2025-09-17 21:46:22.904974,fighting
535,2025-09-17 21:46:22.950845,fighting
536,2025-09-17 21:46:22.993931,fighting
537,2025-09-17 21:46:23.034873,fighting
538,2025-09-17 21:46:23.081701,fighting
543,2025-09-17 21:46:23.304121,fighting
544,2025-09-17 21:46:23.350398,fighting
