behavior,start_time,end_time,duration_seconds,frame_start,frame_end
fighting,2025-09-17 21:45:59.219238,2025-09-17 21:45:59.288817,0.069579,13,13
fighting,2025-09-17 21:46:01.408183,2025-09-17 21:46:01.476066,0.067883,44,44
fighting,2025-09-17 21:46:02.690349,2025-09-17 21:46:02.778253,0.087904,68,68
fighting,2025-09-17 21:46:05.792744,2025-09-17 21:46:05.928002,0.135258,142,142
fighting,2025-09-17 21:46:06.410619,2025-09-17 21:46:06.493425,0.082806,155,155
fighting,2025-09-17 21:46:06.578172,2025-09-17 21:46:06.622065,0.043893,158,158
fighting,2025-09-17 21:46:06.962762,2025-09-17 21:46:07.006438,0.043676,167,167
fighting,2025-09-17 21:46:07.421637,2025-09-17 21:46:07.550237,0.1286,179,179
fighting,2025-09-17 21:46:07.594686,2025-09-17 21:46:08.027763,0.433077,190,190
fighting,2025-09-17 21:46:12.016936,2025-09-17 21:46:12.098718,0.081782,286,286
fighting,2025-09-17 21:46:12.934862,2025-09-17 21:46:13.145888,0.211026,311,311
fighting,2025-09-17 21:46:13.186841,2025-09-17 21:46:13.650490,0.463649,323,323
fighting,2025-09-17 21:46:13.691717,2025-09-17 21:46:13.948816,0.257099,330,330
fighting,2025-09-17 21:46:14.040863,2025-09-17 21:46:14.083515,0.042652,333,333
fighting,2025-09-17 21:46:14.127129,2025-09-17 21:46:14.170194,0.043065,335,335
fighting,2025-09-17 21:46:14.256402,2025-09-17 21:46:14.298755,0.042353,338,338
fighting,2025-09-17 21:46:14.342274,2025-09-17 21:46:14.899928,0.557654,352,352
fighting,2025-09-17 21:46:15.115306,2025-09-17 21:46:15.666879,0.551573,369,369
fighting,2025-09-17 21:46:15.715900,2025-09-17 21:46:15.760783,0.044883,371,371
fighting,2025-09-17 21:46:15.803260,2025-09-17 21:46:15.934793,0.131533,375,375
fighting,2025-09-17 21:46:15.979898,2025-09-17 21:46:16.116673,0.136775,379,379
fighting,2025-09-17 21:46:16.269776,2025-09-17 21:46:16.318382,0.048606,383,383
fighting,2025-09-17 21:46:16.409771,2025-09-17 21:46:16.456367,0.046596,386,386
fighting,2025-09-17 21:46:17.475044,2025-09-17 21:46:17.650778,0.175734,413,413
fighting,2025-09-17 21:46:17.864916,2025-09-17 21:46:17.909544,0.044628,419,419
fighting,2025-09-17 21:46:18.787652,2025-09-17 21:46:18.875738,0.088086,441,441
fighting,2025-09-17 21:46:18.917829,2025-09-17 21:46:19.002685,0.084856,444,444
fighting,2025-09-17 21:46:19.944370,2025-09-17 21:46:19.990283,0.045913,467,467
fighting,2025-09-17 21:46:20.032398,2025-09-17 21:46:20.162779,0.130381,471,471
fighting,2025-09-17 21:46:20.248216,2025-09-17 21:46:20.291224,0.043008,474,474
fighting,2025-09-17 21:46:20.377249,2025-09-17 21:46:20.420274,0.043025,477,477
fighting,2025-09-17 21:46:21.258221,2025-09-17 21:46:22.432952,1.174731,523,523
fighting,2025-09-17 21:46:22.520680,2025-09-17 21:46:23.126730,0.60605,539,539
fighting,2025-09-17 21:46:23.303121,2025-09-17 21:46:23.954030,0.650909,558,558
fighting,2025-09-17 21:46:23.998226,2025-09-17 21:46:24.083198,0.084972,561,561
fighting,2025-09-17 21:46:24.127175,2025-09-17 21:46:24.215558,0.088383,564,564
fighting,2025-09-17 21:46:24.520440,2025-09-17 21:46:24.562823,0.042383,572,572
fighting,2025-09-17 21:46:25.161924,2025-09-17 21:46:25.882662,0.720738,602,602
fighting,2025-09-17 21:46:26.061892,2025-09-17 21:46:26.103945,0.042053,607,607
fighting,2025-09-17 21:46:26.151692,2025-09-17 21:46:26.250328,0.098636,610,610
fighting,2025-09-17 21:46:26.741385,2025-09-17 21:46:26.887152,0.145767,623,623
fighting,2025-09-17 21:46:27.062915,2025-09-17 21:46:27.106960,0.044045,628,628
fighting,2025-09-17 21:46:27.330237,2025-09-17 21:46:27.374053,0.043816,634,634
fighting,2025-09-17 21:46:27.590796,2025-09-17 21:46:27.721773,0.130977,642,642
fighting,2025-09-17 21:46:27.765166,2025-09-17 21:46:29.054491,1.289325,672,672
fighting,2025-09-17 21:46:29.096793,2025-09-17 21:46:29.663610,0.566817,686,686
fighting,2025-09-17 21:46:29.928844,2025-09-17 21:46:30.234900,0.306056,699,699
fighting,2025-09-17 21:46:30.321757,2025-09-17 21:46:30.363545,0.041788,702,702
fighting,2025-09-17 21:46:30.408789,2025-09-17 21:46:30.495858,0.087069,705,705
fighting,2025-09-17 21:46:30.540140,2025-09-17 21:46:30.670186,0.130046,709,709
fighting,2025-09-17 21:46:30.715117,2025-09-17 21:46:30.887776,0.172659,714,714
fighting,2025-09-17 21:46:31.137586,2025-09-17 21:46:31.408773,0.271187,726,726
fighting,2025-09-17 21:46:31.494912,2025-09-17 21:46:31.627935,0.133023,731,731
fighting,2025-09-17 21:46:31.671579,2025-09-17 21:46:31.932762,0.261183,738,738
fighting,2025-09-17 21:46:31.975975,2025-09-17 21:46:32.019445,0.04347,740,740
fighting,2025-09-17 21:46:32.234030,2025-09-17 21:46:32.413730,0.1797,749,749
fighting,2025-09-17 21:46:32.499877,2025-09-17 21:46:32.544738,0.044861,752,752
fighting,2025-09-17 21:46:32.630440,2025-09-17 21:46:32.761612,0.131172,757,757
fighting,2025-09-17 21:46:33.065969,2025-09-17 21:46:33.111227,0.045258,765,765
