behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
cheating,2025-09-17 23:15:47.962539,2025-09-17 23:15:48.379909,0.41737,7,7,
cheating,2025-09-17 23:15:48.514196,2025-09-17 23:15:48.725694,0.211498,13,13,
not_cheating,2025-09-17 23:15:48.311040,2025-09-17 23:15:49.118070,0.80703,22,22,
not_cheating,2025-09-17 23:15:49.161645,2025-09-17 23:15:49.289109,0.127464,26,26,
not_cheating,2025-09-17 23:15:49.332865,2025-09-17 23:15:49.628745,0.29588,34,34,
cheating,2025-09-17 23:15:48.867787,2025-09-17 23:15:50.824793,1.957006,61,61,
cheating,2025-09-17 23:15:51.033328,2025-09-17 23:15:51.705047,0.671719,82,82,
cheating,2025-09-17 23:15:51.749085,2025-09-17 23:15:52.520917,0.771832,102,102,
not_cheating,2025-09-17 23:15:49.714416,2025-09-17 23:15:53.027890,3.313474,114,114,
not_cheating,2025-09-17 23:15:53.108910,2025-09-17 23:15:53.397265,0.288355,123,123,
not_cheating,2025-09-17 23:15:53.605772,2025-09-17 23:15:53.729947,0.124175,131,131,
not_cheating,2025-09-17 23:15:53.811961,2025-09-17 23:15:53.854977,0.043016,134,134,
not_cheating,2025-09-17 23:15:54.018263,2025-09-17 23:15:54.435925,0.417662,148,148,
not_cheating,2025-09-17 23:15:54.479928,2025-09-17 23:15:54.520773,0.040845,150,150,
not_cheating,2025-09-17 23:15:54.766946,2025-09-17 23:15:55.141760,0.374814,165,165,
not_cheating,2025-09-17 23:15:55.186004,2025-09-17 23:15:55.404859,0.218855,171,171,
not_cheating,2025-09-17 23:15:55.579884,2025-09-17 23:15:55.756731,0.176847,179,179,
not_cheating,2025-09-17 23:15:55.800485,2025-09-17 23:15:56.022923,0.222438,185,185,
not_cheating,2025-09-17 23:15:56.478231,2025-09-17 23:15:56.698941,0.22071,200,200,
not_cheating,2025-09-17 23:15:57.169092,2025-09-17 23:15:57.214035,0.044943,212,212,
not_cheating,2025-09-17 23:15:57.717623,2025-09-17 23:15:57.985075,0.267452,230,230,
not_cheating,2025-09-17 23:15:58.618673,2025-09-17 23:15:59.179361,0.560688,251,251,
not_cheating,2025-09-17 23:16:00.010365,2025-09-17 23:16:00.310671,0.300306,274,274,
not_cheating,2025-09-17 23:16:00.433646,2025-09-17 23:16:00.478612,0.044966,278,278,
not_cheating,2025-09-17 23:16:00.522219,2025-09-17 23:16:00.652756,0.130537,282,282,
cheating,2025-09-17 23:15:52.689684,2025-09-17 23:16:01.034927,8.345243,290,290,
cheating,2025-09-17 23:16:01.078609,2025-09-17 23:16:01.121603,0.042994,292,292,
not_cheating,2025-09-17 23:16:00.695967,2025-09-17 23:16:01.465732,0.769765,300,300,Session closed at end of processing
