behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
handraise,2025-09-17 21:18:11.729368,2025-09-17 21:18:12.178949,0.449581,35,35,
handraise,2025-09-17 21:18:18.111952,2025-09-17 21:18:19.352606,1.240654,163,163,
studying,2025-09-17 21:18:09.978085,2025-09-17 21:18:19.566719,9.588634,168,168,
studying,2025-09-17 21:18:22.221230,2025-09-17 21:18:22.839664,0.618434,244,244,
handraise,2025-09-17 21:18:19.395773,2025-09-17 21:18:23.378858,3.983085,257,257,
handraise,2025-09-17 21:18:23.713952,2025-09-17 21:18:23.803441,0.089489,267,267,
studying,2025-09-17 21:18:22.883411,2025-09-17 21:18:31.206955,8.323544,441,441,
studying,2025-09-17 21:18:31.337273,2025-09-17 21:18:31.421940,0.084667,446,446,
handraise,2025-09-17 21:18:25.733481,2025-09-17 21:18:33.383772,7.650291,493,493,
studying,2025-09-17 21:18:32.259437,2025-09-17 21:18:44.192858,11.933421,748,748,
studying,2025-09-17 21:18:44.242528,2025-09-17 21:18:44.290317,0.047789,750,750,
handraise,2025-09-17 21:18:45.415675,2025-09-17 21:18:48.832175,3.4165,855,855,
studying,2025-09-17 21:18:44.710069,2025-09-17 21:18:53.602244,8.892175,968,968,Session closed at end of processing
