behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
cheating,2025-09-17 23:19:46.968012,2025-09-17 23:19:47.483621,0.515609,44,44,
cheating,2025-09-17 23:19:48.256651,2025-09-17 23:19:48.330006,0.073355,56,56,
cheating,2025-09-17 23:19:48.403739,2025-09-17 23:19:48.628059,0.22432,60,60,
cheating,2025-09-17 23:19:48.706871,2025-09-17 23:19:48.925409,0.218538,64,64,
cheating,2025-09-17 23:19:49.141187,2025-09-17 23:19:49.287852,0.146665,69,69,
cheating,2025-09-17 23:19:51.295104,2025-09-17 23:19:53.056940,1.761836,118,118,
cheating,2025-09-17 23:19:53.215261,2025-09-17 23:19:53.443368,0.228107,123,123,
cheating,2025-09-17 23:19:53.831801,2025-09-17 23:19:54.219568,0.387767,133,133,
cheating,2025-09-17 23:19:54.299435,2025-09-17 23:19:55.542311,1.242876,149,149,
cheating,2025-09-17 23:19:56.020922,2025-09-17 23:19:56.105057,0.084135,156,156,
cheating,2025-09-17 23:19:56.183440,2025-09-17 23:19:56.262054,0.078614,158,158,
cheating,2025-09-17 23:19:56.888698,2025-09-17 23:19:59.628048,2.73935,201,201,
not_cheating,2025-09-17 23:20:04.371616,2025-09-17 23:20:04.522423,0.150807,266,266,
cheating,2025-09-17 23:20:04.074124,2025-09-17 23:20:04.596922,0.522798,267,267,
cheating,2025-09-17 23:20:04.670637,2025-09-17 23:20:05.355431,0.684794,277,277,
cheating,2025-09-17 23:20:05.433572,2025-09-17 23:20:05.735969,0.302397,282,282,
not_cheating,2025-09-17 23:20:06.686807,2025-09-17 23:20:06.765039,0.078232,295,295,
not_cheating,2025-09-17 23:20:07.827852,2025-09-17 23:20:08.051026,0.223174,312,312,
not_cheating,2025-09-17 23:20:08.199071,2025-09-17 23:20:08.570340,0.371269,319,319,
not_cheating,2025-09-17 23:20:08.938603,2025-09-17 23:20:09.013052,0.074449,325,325,
cheating,2025-09-17 23:20:10.750770,2025-09-17 23:20:10.828175,0.077405,349,349,
cheating,2025-09-17 23:20:11.982423,2025-09-17 23:20:12.282673,0.30025,368,368,
cheating,2025-09-17 23:20:12.359275,2025-09-17 23:20:13.044988,0.685713,378,378,
cheating,2025-09-17 23:20:13.199221,2025-09-17 23:20:13.422086,0.222865,383,383,
cheating,2025-09-17 23:20:13.645863,2025-09-17 23:20:15.409309,1.763446,409,409,
cheating,2025-09-17 23:20:15.861637,2025-09-17 23:20:16.012153,0.150516,417,417,
cheating,2025-09-17 23:20:16.091640,2025-09-17 23:20:16.315697,0.224057,421,421,
not_cheating,2025-09-17 23:20:16.537980,2025-09-17 23:20:17.145917,0.607937,432,432,
cheating,2025-09-17 23:20:17.518997,2025-09-17 23:20:17.670058,0.151061,439,439,
cheating,2025-09-17 23:20:17.821666,2025-09-17 23:20:17.896610,0.074944,442,442,
cheating,2025-09-17 23:20:17.975782,2025-09-17 23:20:19.274817,1.299035,460,460,
cheating,2025-09-17 23:20:20.383003,2025-09-17 23:20:20.459833,0.07683,475,475,
cheating,2025-09-17 23:20:21.967241,2025-09-17 23:20:22.038151,0.07091,496,496,
not_cheating,2025-09-17 23:20:22.038151,2025-09-17 23:20:22.863437,0.825286,506,506,
cheating,2025-09-17 23:20:22.863437,2025-09-17 23:20:22.962490,0.099053,507,507,
cheating,2025-09-17 23:20:23.049338,2025-09-17 23:20:23.126055,0.076717,509,509,
not_cheating,2025-09-17 23:20:23.049338,2025-09-17 23:20:23.353275,0.303937,512,512,
cheating,2025-09-17 23:20:23.653681,2025-09-17 23:20:23.807976,0.154295,518,518,
cheating,2025-09-17 23:20:23.970219,2025-09-17 23:20:24.047756,0.077537,521,521,
not_cheating,2025-09-17 23:20:23.733606,2025-09-17 23:20:24.276552,0.542946,524,524,
cheating,2025-09-17 23:20:24.123689,2025-09-17 23:20:24.511181,0.387492,527,527,
cheating,2025-09-17 23:20:24.740903,2025-09-17 23:20:24.894830,0.153927,532,532,
not_cheating,2025-09-17 23:20:25.050856,2025-09-17 23:20:25.678057,0.627201,542,542,
cheating,2025-09-17 23:20:25.598674,2025-09-17 23:20:25.678057,0.079383,542,542,
not_cheating,2025-09-17 23:20:25.755724,2025-09-17 23:20:26.074097,0.318373,547,547,
cheating,2025-09-17 23:20:25.996653,2025-09-17 23:20:26.308358,0.311705,550,550,
cheating,2025-09-17 23:20:26.626082,2025-09-17 23:20:26.703599,0.077517,555,555,
not_cheating,2025-09-17 23:20:27.314825,2025-09-17 23:20:27.392141,0.077316,564,564,
not_cheating,2025-09-17 23:20:27.621648,2025-09-17 23:20:27.776676,0.155028,569,569,
cheating,2025-09-17 23:20:27.697770,2025-09-17 23:20:27.776676,0.078906,569,569,
not_cheating,2025-09-17 23:20:28.324704,2025-09-17 23:20:28.481748,0.157044,578,578,
not_cheating,2025-09-17 23:20:28.560798,2025-09-17 23:20:32.145121,3.584323,625,625,
not_cheating,2025-09-17 23:20:32.370882,2025-09-17 23:20:32.445926,0.075044,629,629,
not_cheating,2025-09-17 23:20:33.032997,2025-09-17 23:20:33.182780,0.149783,639,639,
not_cheating,2025-09-17 23:20:33.256829,2025-09-17 23:20:33.332984,0.076155,641,641,
not_cheating,2025-09-17 23:20:36.720037,2025-09-17 23:20:43.073896,6.353859,768,768,
not_cheating,2025-09-17 23:20:44.736803,2025-09-17 23:20:46.959597,2.222794,819,819,
not_cheating,2025-09-17 23:20:47.279504,2025-09-17 23:20:47.509623,0.230119,826,826,
not_cheating,2025-09-17 23:20:49.220714,2025-09-17 23:20:50.031541,0.810827,860,860,
cheating,2025-09-17 23:20:50.657357,2025-09-17 23:20:50.944996,0.287639,871,871,
cheating,2025-09-17 23:20:51.162355,2025-09-17 23:20:51.521439,0.359084,879,879,
cheating,2025-09-17 23:20:53.916567,2025-09-17 23:20:54.055893,0.139326,913,913,
cheating,2025-09-17 23:20:54.741440,2025-09-17 23:20:55.031550,0.29011,927,927,
cheating,2025-09-17 23:20:55.110644,2025-09-17 23:20:55.658175,0.547531,935,935,
not_cheating,2025-09-17 23:20:56.634968,2025-09-17 23:20:56.870142,0.235174,951,951,
not_cheating,2025-09-17 23:20:57.160370,2025-09-17 23:20:57.526977,0.366607,960,960,
not_cheating,2025-09-17 23:20:57.673835,2025-09-17 23:20:58.449401,0.775566,972,972,Session closed at end of processing
