frame,timestamp,behavior
37,2025-09-17 23:19:46.968012,cheating
38,2025-09-17 23:19:47.041133,cheating
39,2025-09-17 23:19:47.117977,cheating
40,2025-09-17 23:19:47.189339,cheating
41,2025-09-17 23:19:47.263553,cheating
42,2025-09-17 23:19:47.339625,cheating
43,2025-09-17 23:19:47.412787,cheating
55,2025-09-17 23:19:48.256651,cheating
57,2025-09-17 23:19:48.403739,cheating
58,2025-09-17 23:19:48.477715,cheating
59,2025-09-17 23:19:48.550688,cheating
61,2025-09-17 23:19:48.706871,cheating
62,2025-09-17 23:19:48.781241,cheating
63,2025-09-17 23:19:48.854797,cheating
67,2025-09-17 23:19:49.141187,cheating
68,2025-09-17 23:19:49.214873,cheating
95,2025-09-17 23:19:51.295104,cheating
96,2025-09-17 23:19:51.371754,cheating
97,2025-09-17 23:19:51.449691,cheating
98,2025-09-17 23:19:51.530304,cheating
99,2025-09-17 23:19:51.609949,cheating
100,2025-09-17 23:19:51.688991,cheating
101,2025-09-17 23:19:51.768206,cheating
102,2025-09-17 23:19:51.849783,cheating
103,2025-09-17 23:19:51.925966,cheating
104,2025-09-17 23:19:52.002037,cheating
105,2025-09-17 23:19:52.075685,cheating
106,2025-09-17 23:19:52.151535,cheating
107,2025-09-17 23:19:52.224888,cheating
108,2025-09-17 23:19:52.298993,cheating
109,2025-09-17 23:19:52.375975,cheating
110,2025-09-17 23:19:52.453063,cheating
111,2025-09-17 23:19:52.538460,cheating
112,2025-09-17 23:19:52.618772,cheating
113,2025-09-17 23:19:52.691926,cheating
114,2025-09-17 23:19:52.765920,cheating
115,2025-09-17 23:19:52.837317,cheating
116,2025-09-17 23:19:52.911862,cheating
117,2025-09-17 23:19:52.983128,cheating
120,2025-09-17 23:19:53.215261,cheating
121,2025-09-17 23:19:53.293869,cheating
122,2025-09-17 23:19:53.371195,cheating
128,2025-09-17 23:19:53.831801,cheating
129,2025-09-17 23:19:53.915772,cheating
130,2025-09-17 23:19:53.992358,cheating
131,2025-09-17 23:19:54.065888,cheating
132,2025-09-17 23:19:54.141299,cheating
134,2025-09-17 23:19:54.299435,cheating
135,2025-09-17 23:19:54.379011,cheating
136,2025-09-17 23:19:54.455068,cheating
137,2025-09-17 23:19:54.533983,cheating
138,2025-09-17 23:19:54.628041,cheating
139,2025-09-17 23:19:54.706892,cheating
140,2025-09-17 23:19:54.782363,cheating
141,2025-09-17 23:19:54.865997,cheating
142,2025-09-17 23:19:54.950404,cheating
143,2025-09-17 23:19:55.031170,cheating
144,2025-09-17 23:19:55.113584,cheating
145,2025-09-17 23:19:55.193341,cheating
146,2025-09-17 23:19:55.294838,cheating
147,2025-09-17 23:19:55.379480,cheating
148,2025-09-17 23:19:55.458662,cheating
155,2025-09-17 23:19:56.020922,cheating
157,2025-09-17 23:19:56.183440,cheating
166,2025-09-17 23:19:56.888698,cheating
167,2025-09-17 23:19:56.965624,cheating
168,2025-09-17 23:19:57.039678,cheating
169,2025-09-17 23:19:57.112979,cheating
170,2025-09-17 23:19:57.189590,cheating
171,2025-09-17 23:19:57.265637,cheating
172,2025-09-17 23:19:57.343638,cheating
173,2025-09-17 23:19:57.424130,cheating
174,2025-09-17 23:19:57.500346,cheating
175,2025-09-17 23:19:57.578921,cheating
176,2025-09-17 23:19:57.656610,cheating
177,2025-09-17 23:19:57.732177,cheating
178,2025-09-17 23:19:57.809087,cheating
179,2025-09-17 23:19:57.887253,cheating
180,2025-09-17 23:19:57.966163,cheating
181,2025-09-17 23:19:58.045673,cheating
182,2025-09-17 23:19:58.123661,cheating
183,2025-09-17 23:19:58.198800,cheating
184,2025-09-17 23:19:58.275002,cheating
185,2025-09-17 23:19:58.353017,cheating
186,2025-09-17 23:19:58.428048,cheating
187,2025-09-17 23:19:58.504966,cheating
188,2025-09-17 23:19:58.582347,cheating
189,2025-09-17 23:19:58.662869,cheating
190,2025-09-17 23:19:58.746941,cheating
191,2025-09-17 23:19:58.830367,cheating
192,2025-09-17 23:19:58.910944,cheating
193,2025-09-17 23:19:58.990684,cheating
194,2025-09-17 23:19:59.072340,cheating
195,2025-09-17 23:19:59.151358,cheating
196,2025-09-17 23:19:59.230704,cheating
197,2025-09-17 23:19:59.312405,cheating
198,2025-09-17 23:19:59.395963,cheating
199,2025-09-17 23:19:59.472939,cheating
200,2025-09-17 23:19:59.550261,cheating
260,2025-09-17 23:20:04.074124,cheating
261,2025-09-17 23:20:04.150277,cheating
262,2025-09-17 23:20:04.224823,cheating
263,2025-09-17 23:20:04.299012,cheating
264,2025-09-17 23:20:04.371616,not_cheating
264,2025-09-17 23:20:04.371616,cheating
265,2025-09-17 23:20:04.446959,not_cheating
265,2025-09-17 23:20:04.446959,cheating
266,2025-09-17 23:20:04.522423,cheating
268,2025-09-17 23:20:04.670637,cheating
269,2025-09-17 23:20:04.744008,cheating
270,2025-09-17 23:20:04.826677,cheating
271,2025-09-17 23:20:04.902304,cheating
272,2025-09-17 23:20:04.977133,cheating
273,2025-09-17 23:20:05.050801,cheating
274,2025-09-17 23:20:05.125871,cheating
275,2025-09-17 23:20:05.202240,cheating
276,2025-09-17 23:20:05.279939,cheating
278,2025-09-17 23:20:05.433572,cheating
279,2025-09-17 23:20:05.509700,cheating
280,2025-09-17 23:20:05.585658,cheating
281,2025-09-17 23:20:05.659713,cheating
294,2025-09-17 23:20:06.686807,not_cheating
309,2025-09-17 23:20:07.827852,not_cheating
310,2025-09-17 23:20:07.904741,not_cheating
311,2025-09-17 23:20:07.977434,not_cheating
314,2025-09-17 23:20:08.199071,not_cheating
315,2025-09-17 23:20:08.273777,not_cheating
316,2025-09-17 23:20:08.348717,not_cheating
317,2025-09-17 23:20:08.421738,not_cheating
318,2025-09-17 23:20:08.495643,not_cheating
324,2025-09-17 23:20:08.938603,not_cheating
348,2025-09-17 23:20:10.751770,cheating
364,2025-09-17 23:20:11.982423,cheating
365,2025-09-17 23:20:12.056649,cheating
366,2025-09-17 23:20:12.133553,cheating
367,2025-09-17 23:20:12.208914,cheating
369,2025-09-17 23:20:12.359275,cheating
370,2025-09-17 23:20:12.433705,cheating
371,2025-09-17 23:20:12.506683,cheating
372,2025-09-17 23:20:12.579202,cheating
373,2025-09-17 23:20:12.653320,cheating
374,2025-09-17 23:20:12.732231,cheating
375,2025-09-17 23:20:12.804940,cheating
376,2025-09-17 23:20:12.880915,cheating
377,2025-09-17 23:20:12.967197,cheating
380,2025-09-17 23:20:13.199221,cheating
381,2025-09-17 23:20:13.272356,cheating
382,2025-09-17 23:20:13.345847,cheating
386,2025-09-17 23:20:13.646780,cheating
387,2025-09-17 23:20:13.720966,cheating
388,2025-09-17 23:20:13.794903,cheating
389,2025-09-17 23:20:13.868722,cheating
390,2025-09-17 23:20:13.940693,cheating
391,2025-09-17 23:20:14.015046,cheating
392,2025-09-17 23:20:14.089490,cheating
393,2025-09-17 23:20:14.165173,cheating
394,2025-09-17 23:20:14.241910,cheating
395,2025-09-17 23:20:14.323750,cheating
396,2025-09-17 23:20:14.402941,cheating
397,2025-09-17 23:20:14.479303,cheating
398,2025-09-17 23:20:14.560838,cheating
399,2025-09-17 23:20:14.640521,cheating
400,2025-09-17 23:20:14.719771,cheating
401,2025-09-17 23:20:14.795820,cheating
402,2025-09-17 23:20:14.873019,cheating
403,2025-09-17 23:20:14.951535,cheating
404,2025-09-17 23:20:15.029000,cheating
405,2025-09-17 23:20:15.107930,cheating
406,2025-09-17 23:20:15.182216,cheating
407,2025-09-17 23:20:15.259633,cheating
408,2025-09-17 23:20:15.335844,cheating
415,2025-09-17 23:20:15.861637,cheating
416,2025-09-17 23:20:15.939026,cheating
418,2025-09-17 23:20:16.091640,cheating
419,2025-09-17 23:20:16.165934,cheating
420,2025-09-17 23:20:16.241863,cheating
424,2025-09-17 23:20:16.537980,not_cheating
425,2025-09-17 23:20:16.612798,not_cheating
426,2025-09-17 23:20:16.686832,not_cheating
427,2025-09-17 23:20:16.762578,not_cheating
428,2025-09-17 23:20:16.837603,not_cheating
429,2025-09-17 23:20:16.910463,not_cheating
430,2025-09-17 23:20:16.984848,not_cheating
431,2025-09-17 23:20:17.065921,not_cheating
437,2025-09-17 23:20:17.518997,cheating
438,2025-09-17 23:20:17.594816,cheating
